"""Покрывали притон с иностранками"". В ГКНБ сообщили подробности задержания милиционеров"|https://data.kaktus.media/image/small/2023-11-03_20-31-15_932980.jpg|https://kaktus.media/doc/490125_pokryvali_priton_s_inostrankami._vgknb_soobshili_podrobnosti_zaderjaniia_milicionerov.html
"Минэкономики предлагает сохранить за ""Кумтором"" право по продаже собственных акций"|https://data.kaktus.media/image/small/2023-11-03_17-28-06_839092.jpg|https://kaktus.media/doc/490112_minekonomiki_predlagaet_sohranit_za_kymtorom_pravo_po_prodaje_sobstvennyh_akciy.html
Сколько электричества КР импортирует предстоящей зимой? И что такое план Б?|https://data.kaktus.media/image/small/2023-11-03_18-13-03_282911.jpg|https://kaktus.media/doc/489978_skolko_elektrichestva_kr_importiryet_predstoiashey_zimoy_i_chto_takoe_planb.html
В Чуйской области убили мужчину, а его машину подожгли. Задержаны подозреваемые (видео)|https://data.kaktus.media/image/small/2023-11-03_19-07-42_395344.jpg|https://kaktus.media/doc/490124_v_chyyskoy_oblasti_ybili_myjchiny_a_ego_mashiny_podojgli._zaderjany_podozrevaemye_video.html
Прогноз погоды в Бишкеке на ближайшие выходные|https://data.kaktus.media/image/small/2023-11-03_19-06-11_254339.jpg|https://kaktus.media/doc/490094_prognoz_pogody_v_bishkeke_na_blijayshie_vyhodnye.html
"""Бишкектеплосети"" - 60 лет"|https://data.kaktus.media/image/small/2023-11-03_17-36-59_795374.jpg|https://kaktus.media/doc/490117_bishkekteploseti_60_let.html
В Бишкеке столкнулись троллейбус и авто. Движение на одной из улиц затруднено (видео)|https://data.kaktus.media/image/small/2023-11-03_18-46-12_676172_ws.jpg|https://kaktus.media/doc/490123_v_bishkeke_stolknylis_trolleybys_i_avto._dvijenie_na_odnoy_iz_ylic_zatrydneno_video.html
Обладатель трех недействительных паспортов получил нормальные документы|https://data.kaktus.media/image/small/2023-11-03_18-04-32_126937.jpg|https://kaktus.media/doc/490121_obladatel_treh_nedeystvitelnyh_pasportov_polychil_normalnye_dokymenty.html
На Иссык-Куле мужчина совершил самоубийство|https://data.kaktus.media/image/small/2023-11-03_17-43-52_734768.jpg|https://kaktus.media/doc/490120_na_issyk_kyle_myjchina_sovershil_samoybiystvo.html
Чем развлечь себя на длинных выходных?|https://data.kaktus.media/image/small/2023-11-03_17-30-27_289275.jpg|https://kaktus.media/doc/490115_chem_razvlech_sebia_na_dlinnyh_vyhodnyh.html
Как получить страховку до 1 млн сомов в случае пожара? Отвечает специалист|https://data.kaktus.media/image/small/2023-11-03_17-27-12_994378.jpg|https://kaktus.media/doc/490118_kak_polychit_strahovky_do_1_mln_somov_v_slychae_pojara_otvechaet_specialist.html
"МП ""Тазалык"" попало в число оштрафованных за нарушения правил благоустройства"|https://data.kaktus.media/image/small/2023-11-03_17-13-55_754677.jpg|https://kaktus.media/doc/490114_mp_tazalyk_popalo_v_chislo_oshtrafovannyh_za_narysheniia_pravil_blagoystroystva.html
